Num_etab;Type_e;Appellation officielle;Label;Items;Année;Date de 1ère labellisation;Renouvellement 1;Renouvellement 2;Renouvellement 3;Renouvellement 4;Secteur;Commune;Latitude;Longitude;Nature uai;Département;Type de contrat;Téléphone;Chef d'établissement;territoire
0390012B;lycée GT ou polyvalent;Lycée général Charles Nodier;Niveau 3;21;2024;2019 - Niveau 3;2024  -  Niveau 3;2029;;;Public;Dole;47.090376124524894;5.493179464618114;LYCEE D ENSEIGNEMENT GENERAL;Jura;SANS OBJET;384790099;PARENT Daniel;
0390013C;lycée GT ou polyvalent;Lycée polyvalent Jacques Duhamel;Niveau 3;19;2023;2023 - Niveau 3;;;;;Public;Dole;47.081704144203584;5.470800244287747;LYCEE POLYVALENT;Jura;SANS OBJET;384797800;NEVES Antoine;
0390015E;lycée professionnel;Lycée professionnel Jacques Prévert - Lycée des métiers de la mode, de la beauté et du bien-être;Niveau 2;19;2025;2020 - Niveau 2;2025  -  Niveau 2;2030;;;Public;Dole;47.088661808026224;5.489050019734192;LYCEE PROFESSIONNEL;Jura;SANS OBJET;384796263;BLOSCH Lysiane;
0390126A;école;Ecole primaire;Niveau 1;17;2025;2025 - Niveau 1;;;;;Public;Domblans;46.765209652277065;5.597517196820808;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390016F;collège;Collège Gustave Eiffel;Niveau 2;15;2024;2019 - Niveau 2;2024  -  Niveau 2;;;;Public;Fraisans;47.1469917449159;5.769149587423718;COLLEGE;Jura;SANS OBJET;384794949;MARTIN Pascale;
0390028U;collège;Collège Pierre-Hyacinthe Cazeaux;Niveau 2;13;2022;2022 - Niveau 2;;;;;Public;Hauts de Bienne;46.51894080971157;6.025469973975638;COLLEGE;Jura;SANS OBJET;384341360;JACQUET Arnaud;
0390027T;lycée GT ou polyvalent;LPO Victor Bérard - Lycée des métiers de l'optique et des microtechniques;Niveau 3;22;2025;2013 - Niveau 2;2018  -  Niveau 2;2020  - Niveau 3;2025  - Niveau 3;2030;Public;Hauts de Bienne;46.51755992003473;6.026710374570765;LYCEE POLYVALENT;Jura;SANS OBJET;384341700;FLAMME Christine;
0391167G;école;Ecole primaire;Niveau 2;15;2024;2019 - Niveau 1;2024  -  Niveau 2;2029;;;Public;Le Fied;46.766019098680054;5.719609374622398;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0391095D;école;Ecole maternelle;Niveau 1;11;2025;2025 - Niveau 1;;;;;Public;L'Etoile;46.715953153277354;5.535120447653763;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0390858W;école;Ecole primaire privée La Salle;Niveau 2;14;2023;2023 - Niveau 2;;;;;Privé;Lons-le-Saunier;46.67058587221734;5.550310374486776;ECOLE DE NIVEAU ELEMENTAIRE;Jura;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;
0390022M;collège;Collège Aristide Briand;Niveau 2;15;2021;2019 - Niveau 1;2021  -  Niveau 2;;;;Public;Lons-le-Saunier;46.66968941337521;5.550840205004013;COLLEGE;Jura;SANS OBJET;384871868;JACOB Hervé;
0391129R;école;Ecole élémentaire Richebourg;Niveau 1;7;2023;2023 - Niveau 1;;;;;Public;Lons-le-Saunier;46.67821341136807;5.558049403704746;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390815Z;école;Ecole primaire Bernard Clavel;Niveau 2;17;2024;2024 - Niveau 2;;;;;Public;Lons-le-Saunier;46.6682591852172;5.545309356966522;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0391130S;école;Ecole maternelle Richebourg;Niveau 1;7;2023;2023 - Niveau 1;;;;;Public;Lons-le-Saunier;46.67849145605841;5.557579502365208;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0390563A;école;Ecole maternelle Jacques Prévert;Niveau 3;18;2025;2025 - Niveau 3;;;;;Public;Lons-le-Saunier;46.67416222816976;5.569970520203303;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0390809T;lycée agricole;Lycée d'enseignement général et technologique agricole de  Mancy - Lons-le-Saunier;Niveau 2;20;2025;2024 - Niveau 1;2025  -  Niveau 2;2030;;;Public;Lons-le-Saunier;46.66420822630279;5.548173831267417;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Jura;SANS OBJET;;;
0390019J;lycée GT ou polyvalent;Lycée général et technologique Jean Michel;Niveau 3;18;2022;2022 - Niveau 3;;;;;Public;Lons-le-Saunier;46.67956487504604;5.551289490126576;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Jura;SANS OBJET;384352600;COUTROT Jérôme;
0390020K;lycée professionnel;Lycée professionnel Le Corbusier-Bâtiment;Niveau 3;22;2025;2023 - Niveau 2;2025  -  Niveau 3;2030;;;Public;Lons-le-Saunier;46.67909087933176;5.564020220168707;LYCEE PROFESSIONNEL;Jura;SANS OBJET;384861313;VAUCHEZ Philippe;
0390021L;lycée professionnel;Lycée professionnel Montciel;Niveau 3;22;2024;2023 - Niveau 2;2024  -  Niveau 3;2029;;;Public;Lons-le-Saunier;46.67173741278442;5.541739725968786;LYCEE PROFESSIONNEL;Jura;SANS OBJET;384856500;VILLELLA Antoni;
0390025R;collège;Collège Pierre Vernotte;Niveau 3;19;2021;2013 - Niveau 2;2018  -  Niveau 2;2026;;;Public;Moirans-en-Montagne;46.43691520532894;5.721950170115803;COLLEGE;Jura;SANS OBJET;384420149;GEOFFROY Isabelle;
0390403B;école;Ecole primaire;Niveau 2;19;2025;2025 - Niveau 2;;;;;Public;Montbarrey;47.01958738639607;5.640490609432373;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390601S;école;Ecole primaire;Niveau 2;17;2024;2019 - Niveau 2;2024  -  Niveau 2;2029;;;Public;Montholier;46.89809980721762;5.64461966829195;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390810U;lycée agricole;Lycée d'enseignement général et technologique agricole de Lons Le Saunier - Montmorot;Niveau 3;22;2024;2024 - Niveau 3;;;;;Public;Montmorot;46.689367915987745;5.510970533801388;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Jura;SANS OBJET;;;
0390997X;collège;Collège Jules Grévy;Niveau 3;22;2022;2013 - Niveau 2;2018  -  Niveau 2;2027;;;Public;Mont-sous-Vaudrey;46.98237367694576;5.60526994804134;COLLEGE;Jura;SANS OBJET;384717622;ROBEZ MASSON Agnès;
0390029V;lycée GT ou polyvalent;Lycée polyvalent des métiers du bois;Niveau 3;18;2022;2017 - Niveau 3;2022  -  Niveau 3;2027;;;Public;Mouchard;46.971145237574255;5.796519803149464;LYCEE POLYVALENT;Jura;SANS OBJET;384737400;DEVILLERS-BRAUN Valéry;
0390784R;collège;Collège Gilbert Cousin;Niveau 2;17;2023;2011 - Niveau 2;2016  -  Perte;2028;;;Public;Nozeroy;46.779338290770895;6.0462605835345515;COLLEGE;Jura;SANS OBJET;384511347;DEBRAND Arnaud;
0390031X;collège;Collège Michel Brezillon;Niveau 2;14;2023;2014 - Niveau 2;2019  -  Niveau 1;2028;;;Public;Orgelet;46.52268589979346;5.614600254500371;COLLEGE;Jura;SANS OBJET;384254066;BURTIN Virginie;
0390200F;école;Ecole primaire;Niveau 1;6;2025;2025 - Niveau 1;;;;;Public;Poids-de-Fiole;46.596582181476606;5.62837970447896;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390798F;collège;Collège Jules Grevy;Niveau 3;22;2024;2014 - Niveau 2;2019  -  Niveau 3;2029;;;Public;Poligny;46.837575759175536;5.698159553326336;COLLEGE;Jura;SANS OBJET;384371261;TUPIN Jérôme;
0391081N;école;Ecole élémentaire Jacques Brel;Niveau 2;13;2023;2023 - Niveau 2;;;;;Public;Poligny;46.83437833866053;5.706790593548762;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0391086U;école;Ecole Thomas Pesquet;Niveau 1;10;2025;2025 - Niveau 1;;;;;Public;Poligny;46.83897406062995;5.703833895626368;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0390033Z;lycée GT ou polyvalent;Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social;Niveau 3;23;2024;2014 - Niveau 2;2019  -  Niveau 3;2024  - Niveau 3;2029;;Public;Poligny;46.8348153018462;5.7092003820372845;LYCEE POLYVALENT;Jura;SANS OBJET;384372134;PELLIGAND Nathalie;
0390671T;école;Ecole primaire de la Vallée de l'Ain;Niveau 1;10;2025;2025 - Niveau 1;;;;;Public;Pont-de-Poitte;46.583510936560785;5.695509844636605;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390523G;école;Ecole primaire;Niveau 3;21;2024;2019 - Niveau 2;2024  -  Niveau 3;2029;;;Public;Ruffey-sur-Seille;46.74365371891824;5.494330067790057;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390786T;lycée GT ou polyvalent;Lycée polyvalent Pré Saint Sauveur;Niveau 1;13;2025;2025 - Niveau 1;;;;;Public;Saint-Claude;46.379792800805646;5.871529367759134;LYCEE POLYVALENT;Jura;SANS OBJET;384453303;DURAND Jean-Yves;
0390916J;collège;Collège Louis Bouvier;Niveau 2;18;2023;2013 - Niveau 2;2018  -  Niveau 2;2028;;;Public;Saint-Laurent-en-Grandvaux;46.578175817522556;5.953989894486795;COLLEGE;Jura;SANS OBJET;384341380;PRIOUL-SAIDA Benoit;
0391075G;école;Ecole élémentaire Antoine Lyonnet;Niveau 2;20;2025;2020 - Niveau 3;2025  -  Niveau 2;2030;;;Public;Saint-Laurent-en-Grandvaux;46.575868104867986;5.960409843191089;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390962J;collège;Collège Victor Considerant;Niveau 3;21;2023;2023 - Niveau 3;;;;;Public;Salins-les-Bains;46.94974463899238;5.881210024459909;COLLEGE;Jura;SANS OBJET;384730278;DIMOVITCH Florence;
0390042J;lycée GT ou polyvalent;Lycée Victor Considerant;Niveau 3;21;2023;2023 - Niveau 3;;;;;Public;Salins-les-Bains;46.94943321948755;5.881089485557706;LYCEE D ENSEIGNEMENT GENERAL;Jura;SANS OBJET;384730278;DIMOVITCH Florence;
0390380B;école;Ecole primaire du Mont Joly;Niveau 1;15;2022;2022 - Niveau 1;;;;;Public;Sampans;47.12678493972745;5.453530591862184;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390694T;école;Ecole primaire;Niveau 2;15;2024;2024 - Niveau 2;;;;;Public;Villards-d'Héria;46.41543174979142;5.735069451221426;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0900400W;école;Ecole primaire;Niveau 3;20;2025;2020 - Niveau 1;2025  -  Niveau 3;2030;;;Public;Andelnans;47.60742362196383;6.846189327805957;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;SANS OBJET;;;
0900326R;école;Ecole élémentaire Maurice Henry;Niveau 1;11;2022;2022 - Niveau 1;;;;;Public;Bavilliers;47.619201078333425;6.837677778886448;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;SANS OBJET;;;
0900355X;lycée professionnel;Lycée professionnel Denis Diderot - Lycée des métiers de l'électricité, des technologies numériques et des productions mécaniques;Niveau 3;22;2024;2021 - Niveau 1;2024  -  Niveau 3;2029;;;Public;Bavilliers;47.62762495789006;6.838671808064349;LYCEE PROFESSIONNEL;Territoire de Belfort;SANS OBJET;384573727;HEINIS Julien;
0900335A;collège;Collège privé Sainte Marie;Niveau 1;12;2025;2025 - Niveau 1;;;;;Privé;Belfort;47.64051843890259;6.857547537826508;COLLEGE;Territoire de Belfort;CONTRAT D'ASSOCIATION TOUTES CLASSES;384586789;Mme GUERRIN-HOLTZER Corinne;
0900235S;collège;Collège privé Notre-Dame des Anges;Niveau 3;22;2024;2019 - Niveau 3;2024  -  Niveau 3;;;;Privé;Belfort;47.63343178269885;6.856969614711636;COLLEGE;Territoire de Belfort;CONTRAT D'ASSOCIATION TOUTES CLASSES;384280558;Mme VILLAIN Christine;
0900262W;école;Ecole primaire privée Sainte Marie;Niveau 1;13;2025;2025 - Niveau 1;;;;;Privé;Belfort;47.64051843890259;6.857547537826508;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;
0900263X;école;Ecole primaire privée Notre-Dame des Anges;Niveau 3;22;2024;2024 - Niveau 3;;;;;Privé;Belfort;47.6335263348753;6.856644478118949;ECOLE DE NIVEAU ELEMENTAIRE;Territoire de Belfort;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;
